行政代码,地名,东经,北纬
210283,辽宁省大连市庄河市,122.934145,39.85891
210300,辽宁省鞍山市,123.007763,41.118744
210302,辽宁省鞍山市铁东区,123.020706,41.118235
210303,辽宁省鞍山市铁西区,122.985786,41.127872
210304,辽宁省鞍山市立山区,123.040474,41.164173
210311,辽宁省鞍山市千山区,123.014005,41.061329
210321,辽宁省鞍山市台安县,122.443683,41.3471
210323,辽宁省鞍山市岫岩满族自治县,123.346069,40.403181
210381,辽宁省鞍山市海城市,122.791201,40.840354
210400,辽宁省抚顺市,123.92982,41.877304
210402,辽宁省抚顺市新抚区,123.911369,41.86979
210403,辽宁省抚顺市东洲区,124.029249,41.833588
210404,辽宁省抚顺市望花区,123.785996,41.860404
210411,辽宁省抚顺市顺城区,123.901724,41.916014
210421,辽宁省抚顺市抚顺县,124.136589,41.750077
210422,辽宁省抚顺市新宾满族自治县,124.827866,41.635119
210423,辽宁省抚顺市清原满族自治县,124.924317,42.118882
210500,辽宁省本溪市,123.778062,41.325838
210502,辽宁省本溪市平山区,123.692575,41.240401
210503,辽宁省本溪市溪湖区,123.711866,41.456154
210504,辽宁省本溪市明山区,123.901737,41.347752
210505,辽宁省本溪市南芬区,123.82788,41.122716
210521,辽宁省本溪市本溪满族自治县,124.158564,41.19567
210522,辽宁省本溪市桓仁满族自治县,125.290028,41.261816
210600,辽宁省丹东市,124.338543,40.129023
210602,辽宁省丹东市元宝区,124.350321,40.173197
210603,辽宁省丹东市振兴区,124.355563,40.067035
210604,辽宁省丹东市振安区,124.292197,40.211547
210624,辽宁省丹东市宽甸满族自治县,124.934106,40.766142
210681,辽宁省丹东市东港市,123.87687,39.981217
210682,辽宁省丹东市凤城市,124.07296,40.57957
210700,辽宁省锦州市,121.147749,41.130879
210702,辽宁省锦州市古塔区,121.126434,41.141388
210703,辽宁省锦州市凌河区,121.182665,41.13438
210711,辽宁省锦州市太和区,121.118645,41.13683
210726,辽宁省锦州市黑山县,122.260736,41.799698
210727,辽宁省锦州市义县,121.301877,41.534928
210781,辽宁省锦州市凌海市,121.285575,41.152566
210782,辽宁省锦州市北镇市,121.86455,41.547118
210800,辽宁省营口市,122.233391,40.668651
210802,辽宁省营口市站前区,122.265592,40.70301
210803,辽宁省营口市西市区,122.210126,40.666949
